Bckg run,least sq method
10178,1009
10182,1080
10188,1041
10190,1031
10192,1042
10194,1110
10196,1189
10201,1139
10204,1062
10206,1042
10212,1093
10214,1071
10216,1040
10218,1013
10220,1101
10222,1105
10224,1129
10228,1053
10234,1145
10236,1145
10238,1103
10240,1093
10242,1103
10244,1132
10246,1095
10248,1105
10250,1129
10252,1091
10254,1048
10256,1059
10258,1064
10260,1090
10264,1086
10266,1046
10268,1025
10270,1023
10272,1023
10274,1024
10276,1043
10278,1051
10283,1104
10285,1075
10287,1094
10289,1058
10291,1036
10293,1085
10295,1087
10297,1075
10307,1046
10309,1057
10313,1086
10323,1122
10325,1115
10327,1124
10329,1139
10331,1149
10333,1147
10335,1157
10337,1162
10339,1141
10341,1155
10342,1155
10344,1128
10346,1143
10350,1143
10352,1121
10355,1093
10357,1129
10359,1112
10361,1117
10363,1078
10370,1049
10372,1102
10374,1119
10376,1104
10382,1125
10384,1137
10386,1142
10388,1126
10390,1117
10402,1103
10404,1128
10413,1114
10415,1137
10418,1106
10420,1126
10422,1147
10424,1160
10426,1161
10428,1155
10430,1152
10432,1140
10434,1141
10436,1134
10438,1120
10440,1103
10444,1097
10446,1072
10448,1046
10450,1036
10454,1010
10468,1049
10470,1091
10472,1110
10474,1126
10476,1117
10478,1100
10480,1081
10482,1082
10484,1090
10486,1115
10488,1075
10490,1087
10492,1089
10494,1079
10496,1076
10498,1103
10500,1090
10504,1090
10506,1109
10508,1107
10510,1108
10512,1090
10648,1228
10660,1311
10663,1323
10664,1334
10665,1334
