Bckg,Factor
10710,274
10726,272
10730,272
10740,278
10746,342
10750,336
10772,280
10777,281
10850,450
10853,443
10857,434
10861,437
10863,431
10865,426
10867,425
10869,422
10871,417
10873,411
10875,405
10877,402
10879,397
10895,369
10897,367
10900,365
10902,361
10904,361
10906,357
10908,357
10910,355
10912,346
10914,344
10918,318
10920,312
10922,309
10924,302
10927,306
10932,296
10934,293
10936,291
10938,287
10941,284
10943,282
10945,282
10947,277
10949,274
10951,269
10953,264
10955,258
10957,248
10959,235
10961,229
10963,216
10965,204
10967,189
10969,176
10971,161
10973,148
10975,136
10977,128
10979,117
10981,112
10982,112
10984,108
10987,105
10998,324
10999,324
11003,313
11012,310
11014,308
11018,303
11021,301
11023,298
11025,294
11027,293
11029,289
11031,286
11033,283
11035,281
11038,278
11040,274
11042,274
11044,270
11046,270
11048,266
11050,264
11052,261
11054,259
11073,376
11078,384
11081,379
11083,378
11086,376
11089,377
11091,373
11093,373
11108,459
11110,458
11113,456
11115,456
11117,459
11120,458
11132,325
11134,390
11149,424
11153,399
11205,408
11208,409
11210,408
11218,406
11223,405
11225,405
11227,403
11230,399
11241,401
11245,402
11250,401
11252,403
11254,405
11281,375
11284,401
11286,398
11289,386
11293,372
11296,373
11298,370
11300,370
11304,368
11306,367
11308,365
11310,364
11313,363
11315,363
11317,365
11319,350
11321,350
11339,383
11341,372
11343,360
11344,360
11347,349
11353,372
11358,360
11361,369
11367,341
11375,355
11378,360
11381,350
11384,335
11393,332
11398,336
11402,352
11404,343
11406,335
11408,341
11411,292
11419,433
11422,438
11424,435
11426,438
11430,439
11433,441
11435,440
11437,441
11439,442
11456,433
11459,434
11461,433
11463,431
11467,428
11470,429
11472,429
11476,427
11478,428
11510,423
11517,418
11519,415
11521,418
11523,420
11528,415
11533,413
11535,414
11538,412
11540,411
11542,411
11544,411
11546,413
11549,428
11552,426
11554,427
11556,426
11560,406
11563,405
11565,395
11567,391

