Bckg run,scaled low sigma X,scaled up sigma X,scaled low sigma Y,scaled up sigma Y
10178,0.1390275,0.6870225,0.136306875,0.708718125
10182,0.1458315,0.7024285,0.147024,0.717136
10188,0.1370385,0.6647015,0.138867,0.687253
10190,0.1370385,0.6647015,0.138231,0.679409
10192,0.1370385,0.6647015,0.138231,0.679409
10194,0.1617045,0.7037155,0.1640895,0.7331305
10196,0.1658385,0.7547015,0.1664745,0.7625455
10201,0.1538235,0.7391165,0.155016,0.753824
10204,0.138867,0.687253,0.1400595,0.7019605
10206,0.138867,0.687253,0.1400595,0.7019605
10212,0.147024,0.717136,0.148773,0.738707
10214,0.1458315,0.7024285,0.147024,0.717136
10216,0.138867,0.687253,0.1400595,0.7019605
10218,0.1376745,0.6725455,0.138867,0.687253
10220,0.1475805,0.7239995,0.149409,0.746551
10222,0.1482165,0.7318435,0.149409,0.746551
10224,0.1602315,0.7474285,0.161424,0.762136
10228,0.1451955,0.6945845,0.147024,0.717136
10234,0.1664745,0.7625455,0.1682235,0.7841165
10236,0.167031,0.769409,0.1682235,0.7841165
10238,0.1482165,0.7318435,0.149409,0.746551
10240,0.1475805,0.7239995,0.148773,0.738707
10242,0.153267,0.732253,0.1544595,0.7469605
10244,0.155652,0.761668,0.1568445,0.7763755
10246,0.1475805,0.7239995,0.148773,0.738707
10248,0.148773,0.738707,0.1499655,0.7534145
10250,0.155652,0.761668,0.1568445,0.7763755
10252,0.1475805,0.7239995,0.149409,0.746551
10254,0.1394235,0.6941165,0.140616,0.708824
10256,0.1400595,0.7019605,0.141252,0.716668
10258,0.1458315,0.7024285,0.147024,0.717136
10260,0.152631,0.724409,0.1544595,0.7469605
10264,0.1475805,0.7239995,0.149409,0.746551
10266,0.1394235,0.6941165,0.140616,0.708824
10268,0.138231,0.679409,0.1394235,0.6941165
10270,0.138231,0.679409,0.1394235,0.6941165
10272,0.138231,0.679409,0.1394235,0.6941165
10274,0.138231,0.679409,0.1394235,0.6941165
10276,0.138867,0.687253,0.140616,0.708824
10278,0.1451955,0.6945845,0.146388,0.709292
10283,0.1482165,0.7318435,0.149409,0.746551
10285,0.146388,0.709292,0.1482165,0.7318435
10287,0.1475805,0.7239995,0.149409,0.746551
10289,0.1458315,0.7024285,0.147024,0.717136
10291,0.138867,0.687253,0.1400595,0.7019605
10293,0.147024,0.717136,0.148773,0.738707
10295,0.147024,0.717136,0.148773,0.738707
10297,0.147024,0.717136,0.1482165,0.7318435
10307,0.1451955,0.6945845,0.147024,0.717136
10309,0.1458315,0.7024285,0.147024,0.717136
10313,0.1475805,0.7239995,0.149409,0.746551
10323,0.1658385,0.7547015,0.167031,0.769409
10325,0.1658385,0.7547015,0.167031,0.769409
10327,0.1664745,0.7625455,0.167667,0.777253
10329,0.167031,0.769409,0.1688595,0.7919605
