Bckg run,scaled low sigma X,scaled up sigma X,scaled low sigma Y,scaled up sigma Y,scaled low sigma Z,scaled up sigma Z
10710,0.150,0.625,0.154,0.690,0.000,0.149
10726,0.142,0.605,0.154,0.690,0.000,0.149
10730,0.135,0.472,0.154,0.690,0.000,0.282
10740,0.153,0.683,0.154,0.690,0.000,0.160
10746,0.320,0.755,0.355,0.738,0.000,0.211
10750,0.341,0.738,0.360,0.700,0.000,0.217
10772,0.145,0.529,0.154,0.690,0.000,0.145
10777,0.149,0.606,0.154,0.690,0.000,0.140
10850,0.327,0.737,0.361,0.713,0.000,0.202
10853,0.348,0.744,0.368,0.719,0.000,0.193
10857,0.332,0.718,0.367,0.694,0.000,0.193
10861,0.340,0.718,0.368,0.707,0.000,0.193
10863,0.333,0.724,0.368,0.707,0.000,0.193
10865,0.326,0.724,0.360,0.693,0.000,0.193
10867,0.340,0.712,0.367,0.694,0.000,0.193
10869,0.332,0.718,0.367,0.694,0.000,0.193
10871,0.340,0.718,0.367,0.694,0.000,0.197
10873,0.332,0.718,0.359,0.687,0.000,0.197
10875,0.332,0.705,0.353,0.687,0.000,0.197
10877,0.332,0.718,0.353,0.687,0.000,0.197
10879,0.340,0.725,0.359,0.687,0.000,0.197
10895,0.348,0.744,0.356,0.744,0.000,0.193
10897,0.355,0.738,0.363,0.757,0.000,0.193
10900,0.341,0.731,0.362,0.732,0.000,0.193
10902,0.348,0.751,0.368,0.719,0.000,0.193
10904,0.347,0.731,0.348,0.751,0.000,0.188
10906,0.356,0.751,0.218,0.827,0.000,0.193
10908,0.348,0.751,0.219,0.846,0.000,0.188
10910,0.340,0.725,0.213,0.884,0.000,0.193
10912,0.347,0.731,0.244,0.784,0.000,0.193
10914,0.348,0.744,0.357,0.764,0.000,0.193
10918,0.340,0.718,0.272,0.785,0.000,0.202
10920,0.340,0.718,0.207,0.769,0.000,0.202
10922,0.340,0.718,0.270,0.747,0.000,0.202
10924,0.332,0.712,0.258,0.784,0.000,0.207
10927,0.332,0.705,0.270,0.734,0.000,0.202
10932,0.341,0.738,0.207,0.762,0.000,0.207
10934,0.340,0.725,0.212,0.859,0.000,0.211
10936,0.347,0.731,0.209,0.807,0.000,0.211
10938,0.341,0.738,0.349,0.764,0.000,0.211
10941,0.340,0.725,0.344,0.789,0.000,0.211
10943,0.341,0.731,0.351,0.795,0.000,0.211
10945,0.340,0.718,0.207,0.762,0.000,0.211
10947,0.333,0.737,0.322,0.794,0.000,0.217
10949,0.340,0.725,0.210,0.813,0.000,0.221
10951,0.341,0.731,0.351,0.936,0.000,0.217
10953,0.341,0.744,0.208,0.775,0.000,0.221
10955,0.332,0.718,0.279,0.913,0.000,0.225
10957,0.335,0.763,0.213,0.884,0.000,0.236
10959,0.335,0.763,0.225,0.840,0.000,0.239
10961,0.342,0.763,0.224,1.096,0.000,0.249
10963,0.335,0.763,0.216,0.929,0.000,0.259
10965,0.344,0.789,0.218,0.980,0.000,0.268
10967,0.344,0.795,0.212,0.852,0.000,0.288
10969,0.343,0.782,0.216,0.929,0.000,0.301
10971,0.337,0.801,0.231,0.955,0.000,0.316
10973,0.320,0.877,0.227,0.992,0.000,0.334
10975,0.283,0.983,0.219,0.992,0.000,0.350
10977,0.212,0.724,0.227,0.992,0.000,0.373
10979,0.207,0.756,0.176,0.990,0.000,0.368
10981,0.205,0.730,0.170,0.989,0.000,0.378
10984,0.200,0.756,0.170,0.989,0.000,0.363
10987,0.202,0.794,0.162,0.989,0.000,0.378
10998,0.498,1.283,0.440,1.004,0.000,0.268
11003,0.489,1.257,0.496,1.129,0.000,0.268
11012,0.477,1.167,0.397,1.129,0.000,0.268
11014,0.472,1.211,0.390,1.264,0.000,0.264
11018,0.472,1.205,0.507,1.072,0.000,0.264
11021,0.467,1.236,0.383,1.270,0.000,0.264
11023,0.455,1.159,0.485,1.052,0.000,0.264
11025,0.457,1.191,0.374,1.238,0.000,0.264
11027,0.463,1.166,0.362,1.127,0.000,0.264
11029,0.446,1.120,0.319,1.125,0.000,0.268
11031,0.451,1.076,0.443,1.050,0.000,0.268
11033,0.437,1.081,0.312,0.997,0.000,0.268
11035,0.444,1.076,0.434,1.037,0.000,0.277
11038,0.447,1.140,0.338,1.217,0.000,0.268
11040,0.441,1.158,0.470,1.019,0.000,0.268
11042,0.426,1.011,0.459,0.954,0.000,0.268
11044,0.434,1.037,0.378,1.052,0.000,0.268
11046,0.427,1.017,0.301,1.202,0.000,0.268
11048,0.437,1.094,0.409,1.092,0.000,0.273
11050,0.447,1.127,0.360,1.237,0.000,0.268
11052,0.455,1.159,0.347,1.127,0.000,0.264
11054,0.444,1.069,0.443,1.056,0.000,0.268
11073,0.385,1.168,0.419,1.138,0.000,1.299
11078,0.490,1.020,0.454,1.132,0.000,0.373
11081,0.507,1.200,0.453,1.242,0.000,0.373
11083,0.498,1.161,0.452,1.217,0.000,0.373
11086,0.493,1.186,0.448,1.299,0.000,0.373
11089,0.497,1.142,0.510,1.117,0.000,0.368
11091,0.488,1.109,0.507,1.059,0.000,0.368
11093,0.500,1.200,0.530,1.093,0.000,0.368
11108,0.482,1.129,0.490,1.020,0.000,0.453
11110,0.489,1.122,0.493,1.065,0.000,0.448
11113,0.481,1.116,0.438,1.229,0.000,0.458
11115,0.479,1.077,0.426,1.138,0.000,0.453
11117,0.483,1.154,0.484,1.026,0.000,0.453
11120,0.480,1.090,0.483,1.007,0.000,0.448
11132,0.483,1.141,0.391,1.155,0.000,0.429
11134,0.478,1.045,0.395,1.099,0.000,0.429
11149,0.474,1.096,0.416,1.221,0.000,0.411
11153,0.479,1.077,0.425,1.254,0.000,0.402
11205,0.482,1.122,0.492,1.046,0.000,0.188
11208,0.483,1.141,0.481,1.103,0.000,0.193
11210,0.484,1.160,0.465,1.205,0.000,0.188
11218,0.483,1.141,0.432,1.254,0.000,0.188
11223,0.481,1.116,0.419,1.279,0.000,0.188
11225,0.473,1.083,0.417,1.240,0.000,0.182
11227,0.477,1.154,0.411,1.130,0.000,0.188
11230,0.474,1.103,0.476,1.019,0.000,0.188
11241,0.478,1.186,0.411,1.138,0.000,0.188
11245,0.475,1.128,0.475,1.000,0.000,0.188
11250,0.481,1.109,0.406,1.045,0.000,0.182
11252,0.477,1.154,0.400,1.044,0.000,0.182
11254,0.476,1.141,0.421,1.045,0.000,0.188
11281,0.479,1.198,0.485,1.052,0.000,0.174
11284,0.478,1.173,0.418,1.266,0.000,0.174
11286,0.478,1.186,0.407,1.189,0.000,0.174
11289,0.477,1.301,0.484,1.173,0.000,0.174
11293,0.474,1.109,0.477,1.039,0.000,0.174
11296,0.470,1.179,0.461,1.274,0.000,0.174
11298,0.478,1.186,0.411,1.253,0.000,0.174
11300,0.475,1.121,0.472,1.064,0.000,0.174
11304,0.475,1.128,0.426,1.151,0.000,0.174
11306,0.465,1.077,0.404,1.130,0.000,0.174
11308,0.475,1.121,0.397,1.129,0.000,0.174
11310,0.474,1.103,0.390,1.129,0.000,0.174
11313,0.468,1.134,0.397,1.258,0.000,0.174
11315,0.480,1.211,0.470,1.032,0.000,0.174
11317,0.467,1.108,0.477,1.039,0.000,0.174
11319,0.469,1.160,0.404,1.271,0.000,0.174
11321,0.469,1.160,0.395,1.214,0.000,0.168
11339,0.468,1.128,0.445,1.235,0.000,0.160
11341,0.470,1.166,0.466,1.102,0.000,0.154
11343,0.467,1.108,0.421,1.183,0.000,0.160
11344,0.454,0.867,0.421,1.183,0.000,0.451
11347,0.455,1.166,0.398,1.278,0.000,0.160
11353,0.451,1.076,0.448,1.018,0.000,0.160
11358,0.434,1.024,0.427,1.023,0.000,0.154
11361,0.442,1.043,0.433,1.011,0.000,0.154
11367,0.429,1.068,0.414,1.048,0.000,0.149
11375,0.452,1.095,0.423,1.087,0.000,0.168
