Bckg run,scaled low sigma X,scaled up sigma X,scaled low sigma Y,scaled up sigma Y
10178,0.153068625,0.721543875,0.14640825,0.69861675
10182,0.1601205,0.7377695,0.1570848,0.7070752
10188,0.1505775,0.6981325,0.1485444,0.6775756
10190,0.1505775,0.6981325,0.1477812,0.6698588
10192,0.1505775,0.6981325,0.1477812,0.6698588
10194,0.1757361,0.7393139,0.1741314,0.7230886
10196,0.1810245,0.7927855,0.1769934,0.7520266
10201,0.168852,0.776308,0.1655832,0.7432568
10204,0.1529166,0.7217834,0.1499754,0.6920446
10206,0.1529166,0.7217834,0.1499754,0.6920446
10212,0.161646,0.753194,0.1591836,0.7282964
10214,0.1601205,0.7377695,0.1570848,0.7070752
10216,0.1529166,0.7217834,0.1499754,0.6920446
10218,0.1513911,0.7063589,0.1485444,0.6775756
10220,0.1623579,0.7603921,0.1599468,0.7360132
10222,0.1631715,0.7686185,0.1599468,0.7360132
10224,0.175344,0.785096,0.1720248,0.7515352
10228,0.1593069,0.7295431,0.1570848,0.7070752
10234,0.1818381,0.8010119,0.1790922,0.7732478
10236,0.18255,0.80821,0.1790922,0.7732478
10238,0.1631715,0.7686185,0.1599468,0.7360132
10240,0.1623579,0.7603921,0.1591836,0.7282964
10242,0.1681401,0.7691099,0.1649154,0.7365046
10244,0.1711911,0.7999589,0.1677774,0.7654426
10246,0.1623579,0.7603921,0.1591836,0.7282964
10248,0.1638834,0.7758166,0.1606146,0.7427654
10250,0.1711911,0.7999589,0.1677774,0.7654426
10252,0.1623579,0.7603921,0.1599468,0.7360132
10254,0.1536285,0.7289815,0.1506432,0.6987968
10256,0.1544421,0.7372079,0.1514064,0.7065136
10258,0.1601205,0.7377695,0.1570848,0.7070752
10260,0.1673265,0.7608835,0.1649154,0.7365046
10264,0.1623579,0.7603921,0.1599468,0.7360132
10266,0.1536285,0.7289815,0.1506432,0.6987968
10268,0.152103,0.713557,0.1492122,0.6843278
10270,0.152103,0.713557,0.1492122,0.6843278
10272,0.152103,0.713557,0.1492122,0.6843278
10274,0.152103,0.713557,0.1492122,0.6843278
10276,0.1529166,0.7217834,0.1506432,0.6987968
10278,0.1593069,0.7295431,0.1563216,0.6993584
10283,0.1631715,0.7686185,0.1599468,0.7360132
10285,0.1608324,0.7449676,0.1585158,0.7215442
10287,0.1623579,0.7603921,0.1599468,0.7360132
10289,0.1601205,0.7377695,0.1570848,0.7070752
10291,0.1529166,0.7217834,0.1499754,0.6920446
10293,0.161646,0.753194,0.1591836,0.7282964
10295,0.161646,0.753194,0.1591836,0.7282964
10297,0.161646,0.753194,0.1585158,0.7215442
10307,0.1593069,0.7295431,0.1570848,0.7070752
10309,0.1601205,0.7377695,0.1570848,0.7070752
10313,0.1623579,0.7603921,0.1599468,0.7360132
10323,0.1810245,0.7927855,0.1776612,0.7587788
10325,0.1810245,0.7927855,0.1776612,0.7587788
10327,0.1818381,0.8010119,0.1784244,0.7664956
10329,0.18255,0.80821,0.1798554,0.7809646
10331,0.1840755,0.8236345,0.1805232,0.7877168
10333,0.1840755,0.8236345,0.1812864,0.7954336
10335,0.1905675,0.8324225,0.1876326,0.8027474
10337,0.185601,0.839059,0.1827174,0.8099026
10339,0.1840755,0.8236345,0.1812864,0.7954336
10341,0.1848891,0.8318609,0.1819542,0.8021858
10342,0.1848891,0.8318609,0.1819542,0.8021858
10344,0.1775814,0.8077186,0.1748868,0.7804732
10346,0.1840755,0.8236345,0.1812864,0.7954336
10348,0.1840755,0.8236345,0.1812864,0.7954336
10350,0.1840755,0.8236345,0.1812864,0.7954336
10352,0.18255,0.80821,0.1790922,0.7732478
10355,0.1638834,0.7758166,0.1613778,0.7504822
10357,0.1833636,0.8164364,0.1798554,0.7809646
10359,0.1818381,0.8010119,0.1784244,0.7664956
10361,0.1818381,0.8010119,0.1784244,0.7664956
10363,0.1623579,0.7603921,0.1599468,0.7360132
10370,0.1601205,0.7377695,0.1570848,0.7070752
10372,0.164697,0.784043,0.1620456,0.7572344
10374,0.1768695,0.8005205,0.1734558,0.7660042
10376,0.175344,0.785096,0.1726926,0.7582874
10382,0.1833636,0.8164364,0.1798554,0.7809646
10384,0.1897539,0.8241961,0.1869648,0.7959952
10386,0.1905675,0.8324225,0.1876326,0.8027474
10388,0.1833636,0.8164364,0.1798554,0.7809646
10390,0.18255,0.80821,0.1798554,0.7809646
10402,0.1833636,0.8164364,0.1805232,0.7877168
10404,0.185601,0.839059,0.1827174,0.8099026
10413,0.1840755,0.8236345,0.1805232,0.7877168
10415,0.185601,0.839059,0.1827174,0.8099026
10418,0.1833636,0.8164364,0.1798554,0.7809646
10420,0.1848891,0.8318609,0.1819542,0.8021858
10422,0.1928049,0.8550451,0.1890636,0.8172164
10424,0.1943304,0.8704696,0.1912578,0.8394022
10426,0.1943304,0.8704696,0.1904946,0.8316854
10428,0.1936185,0.8632715,0.1904946,0.8316854
10430,0.1928049,0.8550451,0.1898268,0.8249332
10432,0.1912794,0.8396206,0.1883958,0.8104642
10434,0.185601,0.839059,0.1827174,0.8099026
10436,0.1848891,0.8318609,0.1819542,0.8021858
10438,0.189042,0.816998,0.1855338,0.7815262
10440,0.18255,0.80821,0.1798554,0.7809646
10444,0.1711911,0.7999589,0.1684452,0.7721948
10446,0.179499,0.777361,0.1769934,0.7520266
10448,0.161646,0.753194,0.1585158,0.7215442
10450,0.1608324,0.7449676,0.1577526,0.7138274
10454,0.158595,0.722345,0.1556538,0.6926062
10468,0.161646,0.753194,0.1591836,0.7282964
10470,0.1818381,0.8010119,0.1784244,0.7664956
10472,0.1833636,0.8164364,0.1805232,0.7877168
10474,0.1848891,0.8318609,0.1819542,0.8021858
10476,0.1840755,0.8236345,0.1812864,0.7954336
10478,0.18255,0.80821,0.1790922,0.7732478
10480,0.1696656,0.7845344,0.1663464,0.7509736
10482,0.164697,0.784043,0.1613778,0.7504822
10484,0.1818381,0.8010119,0.1784244,0.7664956
10486,0.1840755,0.8236345,0.1805232,0.7877168
10488,0.164697,0.784043,0.1613778,0.7504822
10490,0.1810245,0.7927855,0.1784244,0.7664956
10492,0.1711911,0.7999589,0.1677774,0.7654426
10494,0.1696656,0.7845344,0.1663464,0.7509736
10496,0.168852,0.776308,0.1663464,0.7509736
10498,0.18255,0.80821,0.1790922,0.7732478
10500,0.1818381,0.8010119,0.1784244,0.7664956
10504,0.1810245,0.7927855,0.1784244,0.7664956
10506,0.1727166,0.8153834,0.1692084,0.7799116
10508,0.18255,0.80821,0.1798554,0.7809646
10510,0.18255,0.80821,0.1790922,0.7732478
10512,0.1654089,0.7912411,0.1628088,0.7649512
10648,0.2370444,1.3023556,0.2262696,1.1934104
10660,0.2526915,1.4108185,0.2412552,1.2951848
10663,0.2526915,1.4108185,0.2412552,1.2951848
10665,0.2526915,1.4108185,0.2412552,1.2951848
