Bckg run,scaled low sigma X,scaled up sigma X,scaled low sigma Y,scaled up sigma Y,scaled low sigma Z,scaled up sigma Z
10710,0.124,0.615,0.124,0.680,0.000,0.785
10726,0.116,0.596,0.124,0.680,0.000,0.785
10730,0.088,1.262,0.079,0.832,0.000,0.397
10740,0.124,0.673,0.124,0.680,0.000,0.840
10746,0.296,0.736,0.334,0.717,0.000,1.110
10750,0.319,0.717,0.341,0.679,0.000,1.140
10772,0.124,0.520,0.124,0.680,0.000,0.765
10777,0.124,0.596,0.124,0.680,0.000,0.735
10850,0.304,0.717,0.341,0.692,0.000,1.065
10853,0.326,0.723,0.349,0.698,0.000,1.015
10857,0.311,0.698,0.349,0.672,0.000,1.015
10861,0.319,0.698,0.349,0.685,0.000,1.015
10863,0.311,0.705,0.349,0.685,0.000,1.015
10865,0.304,0.705,0.341,0.672,0.000,1.015
10867,0.319,0.692,0.349,0.672,0.000,1.015
10869,0.311,0.698,0.349,0.672,0.000,1.015
10871,0.319,0.698,0.349,0.672,0.000,1.035
10873,0.311,0.698,0.341,0.666,0.000,1.035
10875,0.311,0.685,0.334,0.666,0.000,1.035
10877,0.311,0.698,0.334,0.666,0.000,1.035
10879,0.319,0.705,0.341,0.666,0.000,1.035
10895,0.326,0.723,0.334,0.723,0.000,1.015
10897,0.334,0.717,0.341,0.736,0.000,1.015
10900,0.319,0.711,0.341,0.711,0.000,1.015
10902,0.326,0.730,0.349,0.698,0.000,1.015
10904,0.326,0.711,0.326,0.730,0.000,0.990
10906,0.334,0.730,0.184,0.813,0.000,1.015
10908,0.326,0.730,0.184,0.832,0.000,0.990
10910,0.319,0.705,0.176,0.870,0.000,1.015
10912,0.326,0.711,0.214,0.768,0.000,1.015
10914,0.326,0.723,0.334,0.743,0.000,1.015
10918,0.319,0.698,0.244,0.768,0.000,1.065
10920,0.319,0.698,0.176,0.756,0.000,1.065
10922,0.319,0.698,0.244,0.730,0.000,1.065
10924,0.311,0.692,0.229,0.768,0.000,1.090
10927,0.311,0.685,0.244,0.717,0.000,1.065
10932,0.319,0.717,0.176,0.749,0.000,1.090
10934,0.319,0.705,0.176,0.845,0.000,1.110
10936,0.326,0.711,0.176,0.794,0.000,1.110
10938,0.319,0.717,0.326,0.743,0.000,1.110
10941,0.319,0.705,0.319,0.768,0.000,1.110
10943,0.319,0.711,0.326,0.774,0.000,1.110
10945,0.319,0.698,0.176,0.749,0.000,1.110
10947,0.311,0.717,0.296,0.774,0.000,1.140
10949,0.319,0.705,0.176,0.800,0.000,1.165
10951,0.319,0.711,0.319,0.915,0.000,1.140
10953,0.319,0.723,0.176,0.762,0.000,1.165
10955,0.311,0.698,0.244,0.896,0.000,1.185
10957,0.311,0.743,0.176,0.870,0.000,1.240
10959,0.311,0.743,0.191,0.825,0.000,1.260
10961,0.319,0.743,0.176,1.080,0.000,1.310
10963,0.311,0.743,0.176,0.915,0.000,1.365
10965,0.319,0.768,0.176,0.966,0.000,1.410
10967,0.319,0.774,0.176,0.838,0.000,1.515
10969,0.319,0.762,0.176,0.915,0.000,1.585
10971,0.311,0.781,0.191,0.940,0.000,1.665
10973,0.289,0.858,0.184,0.978,0.000,1.760
10975,0.244,0.966,0.176,0.978,0.000,1.840
