Bckg run,scaled low sigma X,scaled up sigma X,scaled low sigma Y,scaled up sigma Y,scaled low sigma Z,scaled up sigma Z
10710,0.124,0.724,0.124,0.800,0.000,0.157
10726,0.116,0.701,0.124,0.800,0.000,0.157
10730,0.116,0.701,0.124,0.800,0.000,0.157
10740,0.124,0.791,0.124,0.800,0.000,0.168
10746,0.296,0.866,0.334,0.844,0.000,0.222
10750,0.319,0.844,0.341,0.799,0.000,0.228
10772,0.124,0.611,0.124,0.800,0.000,0.153
10777,0.124,0.701,0.124,0.800,0.000,0.147
10850,0.304,0.844,0.341,0.814,0.000,0.213
10853,0.326,0.851,0.349,0.821,0.000,0.203
10857,0.311,0.821,0.349,0.791,0.000,0.203
10861,0.319,0.821,0.349,0.806,0.000,0.203
10863,0.311,0.829,0.349,0.806,0.000,0.203
10865,0.304,0.829,0.341,0.791,0.000,0.203
10867,0.319,0.814,0.349,0.791,0.000,0.203
10869,0.311,0.821,0.349,0.791,0.000,0.203
10871,0.319,0.821,0.349,0.791,0.000,0.207
10873,0.311,0.821,0.341,0.784,0.000,0.207
10875,0.311,0.806,0.334,0.784,0.000,0.207
10877,0.311,0.821,0.334,0.784,0.000,0.207
10879,0.319,0.829,0.341,0.784,0.000,0.207
10895,0.326,0.851,0.334,0.851,0.000,0.203
10897,0.334,0.844,0.341,0.866,0.000,0.203
10900,0.319,0.836,0.341,0.836,0.000,0.203
10902,0.326,0.859,0.349,0.821,0.000,0.203
10904,0.326,0.836,0.326,0.859,0.000,0.198
10906,0.334,0.859,0.184,0.956,0.000,0.203
10908,0.326,0.859,0.184,0.979,0.000,0.198
10910,0.319,0.829,0.176,1.024,0.000,0.203
10912,0.326,0.836,0.214,0.904,0.000,0.203
10914,0.326,0.851,0.334,0.874,0.000,0.203
10918,0.319,0.821,0.244,0.904,0.000,0.213
10920,0.319,0.821,0.176,0.889,0.000,0.213
10922,0.319,0.821,0.244,0.859,0.000,0.213
10924,0.311,0.814,0.229,0.904,0.000,0.218
10927,0.311,0.806,0.244,0.844,0.000,0.213
10932,0.319,0.844,0.176,0.881,0.000,0.218
10934,0.319,0.829,0.176,0.994,0.000,0.222
10936,0.326,0.836,0.176,0.934,0.000,0.222
10938,0.319,0.844,0.326,0.874,0.000,0.222
10941,0.319,0.829,0.319,0.904,0.000,0.222
10943,0.319,0.836,0.326,0.911,0.000,0.222
10945,0.319,0.821,0.176,0.881,0.000,0.222
10947,0.311,0.844,0.296,0.911,0.000,0.228
10949,0.319,0.829,0.176,0.941,0.000,0.233
10951,0.319,0.836,0.319,1.076,0.000,0.228
