xs,ys,Es,nXs,nYs
6.5807675,24.371865,4.019193,3,3
-7.7390874,20.476946,3.429671,4,4
22.06802,7.5315704,10.801552,3,4
12.397476,21.884081,1.1515092,2,2
-15.481484,15.191472,5.5832295,3,3
-23.011086,9.1398089,1.6207998,3,3
22.143503,21.440668,2.7104263,3,4
-19.289756,-18.127757,1.1354327,2,2
22.31387,6.3266474,1.1952369,2,2
24.563445,23.878679,2.1284282,3,2
0.52900859,2.7574165,8.6972919,5,4
18.997593,21.131831,1.27278,2,3
5.3161976,-19.618741,2.6419482,4,4
9.4663509,21.332961,2.6227725,3,2
-19.638546,-23.396478,4.8410842,5,3
21.270023,-18.684104,3.1406918,4,4
23.200929,-19.100952,1.36751,2,2
1.5045762,19.437908,3.9285359,3,3
-0.077286241,-23.048584,2.0961822,3,4
-19.571161,-23.882643,2.8192021,3,3
9.4633847,-18.420876,2.8047189,3,3
24.476926,17.101328,2.181529,3,3
-11.421858,6.3577835,7.7109844,3,2
1.6268962,-5.2219134,8.5819448,4,4
6.1232677,-21.172806,2.9309969,2,4
24.080302,-1.6592213,2.1958869,3,4
-3.2748129,-0.71189352,8.7728753,6,5
24.696826,-14.928498,1.799225,4,3
18.588878,2.6655075,2.7959028,3,3
13.585519,16.894632,7.058415,5,4
-20.506793,7.1268499,2.4073691,3,3
-19.762146,-19.605353,1.2169091,2,2
-0.61150726,-22.970714,2.7138406,3,3
8.7770282,-12.459728,3.9052511,4,3
22.465435,-1.8991355,7.9247029,5,6
-10.513727,22.166322,1.8305978,3,3
20.571027,-6.717312,3.3305021,3,5
16.150484,-10.888241,9.4248407,4,5
-18.977296,-24.180133,3.69541,3,4
8.7787326,24.731215,2.8273923,4,3
-5.1130231,-16.655747,2.155674,3,2
17.026125,-18.338648,4.9913125,3,3
-17.602375,24.144874,3.386847,4,5
-20.751042,-22.646165,1.2938232,2,2
6.2251381,20.457475,2.1308819,2,3
22.608172,8.40163,1.9966024,2,4
19.523432,-1.8277073,2.2098922,3,3
25.795626,-22.003313,1.7837038,2,2
-17.968856,-20.322677,1.6090293,3,2
23.655176,-24.937474,2.9696573,2,2
12.232041,9.059349,2.2838494,4,3
0.30878436,-15.808718,8.3183666,6,5
22.133485,0.055595305,7.3724251,5,5
6.7037662,-13.696899,8.0606539,4,4
23.435349,-3.6564307,2.876924,3,2
23.409819,-18.618766,1.5997364,3,2
10.995995,23.267634,2.8789354,3,2
17.804326,-22.525624,2.9362784,4,4
12.457334,7.8919728,10.940374,3,4
26.792985,-3.9904505,8.5977702,2,2
12.987859,-15.451176,2.9552149,3,3
-19.678993,-23.03839,8.945235,4,4
4.226352,3.1454405,1.6887187,2,3
-6.4092513,-23.885661,2.8893287,4,3
4.1356972,6.6742293,6.0183844,4,4
-13.118752,-12.781779,9.2801753,4,5
-23.19932,-16.097232,1.3594182,2,2
21.006378,-9.2234273,2.5487507,3,3
23.242089,-23.591563,1.0404302,2,2
-22.002777,-21.725036,1.347699,3,2
19.991389,12.120746,1.5704814,3,3
-3.868911,21.528807,3.5754593,5,4
-11.00901,14.074973,2.4505509,3,3
19.931683,0.75228352,4.9486839,3,4
-24.533622,-22.062897,1.3495515,2,2
-2.935394,-22.961081,1.2707107,2,2
1.6642815,4.266354,8.4588399,5,5
26.3539,-4.2852424,7.7163009,4,2
25.710016,4.5049729,7.0943187,5,4
22.157856,18.396163,5.5708471,5,5
6.4506461,21.551653,0.91221538,2,2
23.000357,12.77098,2.2734162,3,4
-23.647385,12.865582,2.4043302,3,4
25.737846,6.8490398,2.6318814,4,4
21.606286,9.5041337,9.6468341,5,5
-23.166078,-10.441879,1.5541809,3,3
2.7028257,-23.180163,1.4284416,2,2
-21.908757,-3.3850328,1.5440869,2,3
-18.32555,7.660455,1.8232597,3,3
7.9327495,4.4563287,4.7152083,5,4
-18.917495,-4.2696786,2.6120816,3,5
3.8033683,-20.859875,8.5898864,6,6
-19.761495,-18.231009,5.8853765,6,4
-22.234856,0.6287938,9.5545954,6,6
-18.144657,-18.334995,5.9607207,4,5
25.661747,-16.590904,1.6659966,4,3
17.509272,-0.85139579,1.5584681,3,3
-18.644161,23.664483,1.3688578,2,3
1.9982185,20.368758,3.2327306,3,2
-19.994648,-17.37427,1.9079346,3,3
17.549504,20.298014,2.9548029,3,3
-13.856828,-18.985631,1.4511459,3,2
-3.1598631,-17.8136,2.6440256,2,3
-8.4830269,12.843231,1.3722137,2,2
-4.2866729,11.846474,8.9330798,6,5
-20.208371,-17.06965,8.782101,7,6
-19.541721,12.772458,1.8521241,3,2
-19.503826,7.4702086,2.9464173,3,4
25.591606,16.548448,1.1603907,2,2
21.698653,10.436978,9.3494847,3,4
24.887348,-9.8681572,2.6501689,3,3
19.42076,19.87039,9.5062255,3,4
-11.64051,11.806837,4.1171394,4,4
13.19802,2.6590849,8.874095,6,6
22.152754,-11.673937,1.5968956,3,3
23.598269,4.1880624,3.3778465,3,4
10.247987,-20.122522,8.768044,4,4
-23.150076,-18.381652,8.9836237,4,3
21.778632,-19.420113,2.8213158,2,3
25.719474,-7.3479061,2.4136574,2,3
-22.349943,15.318047,1.7995969,2,2
-17.505497,-21.101658,1.2529774,3,2
-12.97322,-18.017534,8.0012174,3,4
-3.3874445,2.6959026,7.8251445,5,5
10.674348,-18.505909,4.8794191,4,3
5.5180029,12.657505,2.0443255,3,3
21.184391,-6.5685231,8.9216518,4,6
-14.252785,20.548701,2.567591,4,5
14.238987,-23.622777,1.0488783,2,2
18.026422,8.2108373,6.287745,5,5
-8.2765387,-21.878566,0.992516,2,2
-22.120256,9.0778692,1.1707169,2,3
6.3625704,20.836434,2.0205362,3,4
-7.9892955,-14.007643,8.4070188,5,6
-4.2903306,24.514986,2.9798626,4,4
-19.078555,-20.843046,2.0286799,3,3
3.6662614,23.56572,1.4060499,2,3
10.538687,-22.891187,1.4133447,3,2
-18.231208,3.9738957,1.0000602,2,2
-14.044223,24.203975,5.291831,2,2
21.653154,-0.58101092,3.1619944,2,2
23.96529,20.448223,4.0153287,4,4
-2.0205242,-14.000972,3.0818578,3,5
-9.3873904,-14.024786,9.4743241,4,3
-20.228852,-16.656257,1.7644976,2,2
23.289662,-22.6274,0.90165683,2,2
-14.333633,24.992308,2.2406805,2,2
7.6930418,14.124016,9.2120466,4,5
-12.772726,-22.950903,1.8991047,2,3
-21.237462,14.160809,0.86940704,2,2
-16.025123,-3.9043815,1.6737349,3,3
17.889078,15.30387,9.1394988,5,6
-21.994422,-10.379653,1.1109405,2,2
-7.5343115,-22.259744,2.2451053,3,4
-23.375805,-23.824636,3.331487,4,4
13.914918,-24.409096,0.84888952,2,2
-15.947778,-14.289968,3.0981318,3,3
-9.6327014,-22.285559,1.4439031,3,2
24.852237,17.76248,3.0993471,3,4
-7.9267727,23.897828,2.7050989,4,4
1.1151966,21.985849,11.211378,4,4
-23.490557,-7.5971992,2.5094792,3,4
12.669118,19.3598,9.7558695,4,5
22.788009,-15.088287,6.9699658,3,4
25.896387,-8.8434951,2.188972,4,3
8.9110783,10.702896,9.7686687,3,3
-19.590746,19.741325,4.3796129,5,4
-10.471926,23.909199,1.8901757,3,4
21.205312,22.175828,2.264926,4,3
-23.256109,-8.3669334,1.9239753,4,3
-23.345806,15.382135,6.250318,2,2
-23.178121,-14.853598,2.5131297,4,3
-14.499924,-8.372452,7.7698039,5,4
-21.243256,10.640858,0.7924958,2,2
-18.823476,22.25794,1.905086,3,2
-4.6260328,-0.19472596,1.9041169,2,2
-2.8150228,3.5028498,6.0825528,4,3
-7.7773598,-16.54201,3.3252995,4,2
4.4730939,-20.822971,4.4886395,3,4
-23.214187,-12.391159,8.2499498,5,5
-23.786522,-18.701286,1.6066744,2,2
20.987684,18.615507,1.6272942,2,3
25.464086,10.385478,0.96953628,2,2
24.30067,18.404156,1.1289805,2,2
25.849471,-9.4546253,7.8193833,6,5
6.5884767,-17.917419,3.6165343,2,2
5.9232126,4.0744162,7.1556534,5,5
10.647374,-16.423407,3.428096,3,3
11.474704,11.737001,6.5448267,3,2
0.93641795,-9.8979087,10.617871,5,5
16.767317,10.41793,1.2017073,2,2
3.0668855,16.569428,8.3415697,5,6
24.439885,1.6081761,1.5997267,3,3
-22.269876,9.8786711,1.2759554,2,2
-14.052877,-5.826389,3.0076909,3,3
-15.222819,22.687344,1.6259491,2,2
6.288531,-18.118676,2.9641236,2,2
-23.328547,-22.001971,1.8586741,2,2
-19.233776,-12.165928,2.5108817,2,2
2.3700294,-1.8415907,10.71928,5,5
-13.794133,-21.55534,2.8296442,4,4
-12.21954,-21.872557,5.0976206,4,6
-0.77577137,23.083811,1.4455329,2,3
-16.501585,21.580796,0.92459091,2,2
-6.9312564,-2.8440804,11.134096,5,4
-14.712986,20.37238,0.8678491,2,2
-15.973418,-20.37339,1.0249524,2,2
5.5884153,20.252752,1.3352176,3,2
-7.5855345,10.267628,7.1905344,3,3
-19.853118,9.9520222,5.5334425,2,2
-23.208341,1.0165109,7.3665246,5,5
4.0415137,22.438109,0.94478224,2,2
25.50312,3.8600798,1.2365357,2,2
-19.781617,-8.7835243,7.3996568,3,3
26.323324,-0.15192841,1.043626,2,2
13.857121,-11.776044,3.0490725,4,3
-20.759976,-20.158469,1.5796076,2,2
20.163867,-20.946663,2.1037942,3,2
4.513252,-22.147008,1.0158109,2,2
-15.807895,-18.22318,1.2450451,2,2
-10.71363,-23.586901,1.0058492,2,2
-20.006655,19.31893,1.2961881,2,2
18.497864,22.126932,1.577807,2,3
-12.557376,23.49511,1.604694,3,2
19.982679,-21.892041,4.6149059,5,5
-16.210608,23.57652,1.6667854,2,3
-17.926108,-14.663611,5.7706077,2,2
