xs,ys,Es,nXs,nYs
0.0,0.0,3.0,2,2
0.1,0.3,3.1,2,2
0.2,0.2,3.2,2,2
0.3,0.1,3.3,2,2
0.2,0.2,2.9,2,2
-1.8041498,12.839949,10.853321,2,2
8.7661398,0.83016679,4.8050967,2,2
21.000001,-19.375,1.9382323,1,1
3.5000001,0.62499997,1.6521972,1,1
24.5,-0.37499999,1.8928492,1,1
2.5346244,-21.452907,6.2081369,3,3
14.5,17.319702,3.4947845,1,2
16.180077,11.354497,4.2089718,2,2
-19.335531,-21.131341,3.4479536,2,2
8.7381044,-12.428039,11.374944,2,2
10.961639,-11.07402,11.49146,3,2
-12.5,23.625001,1.5245758,1,1
-13.21039,0.82634393,2.7182796,2,2
5.5330849,17.936025,2.7660558,2,2
-11.5,-17.875,1.4786272,1,1
25.242483,-12.375,2.0958361,2,1
13.5,-8.3749999,2.0612955,1,1
-22,-9.3749997,2.1845627,1,1
-18.434546,0.60041277,4.2242169,3,3
25.199635,21.474161,3.1702397,2,2
2.5654396,-17.284512,10.170706,3,3
-5.2504803,20.365725,2.446258,2,2
-17,14.900212,1.9404865,1,2
-6.4064402,17.583268,11.804582,3,3
-12.308808,-15.080441,9.4937648,4,4
3.3847138,19.174832,6.3726959,3,3
-11.278208,-6.0871199,4.9666608,2,2
21.674233,15.840383,6.3608446,2,2
26.499999,12.625,2.1756273,1,1
6.2241817,-21.66851,3.2263416,2,2
6.4999997,13.625,1.4790979,1,1
-14.000001,8.1250001,1.8227284,1,1
-10.256488,-15.668322,3.4085524,2,2
-10,-19.375001,1.3939292,1,1
25.814868,-1.0544113,1.3900243,4,3
-0.81198065,-8.1910754,3.5263753,4,3
-0.66651655,18.372016,7.3916137,7,5
-8.187142,1.359829,8.6789611,6,6
19.263347,6.6249999,2.2484611,2,1
24.500001,-14.875,1.6418115,1,1
10.185786,-6.2214391,10.385835,4,4
11.5,-15.375,1.8449304,1,1
21.999999,-12.375,1.3927998,1,1
-16.548894,-19.652736,3.3521291,2,2
-18,-18.375,2.06706,1,1
14.5,-19.875,1.281028,1,1
-11,4.125,1.7601567,1,1
-25.5,-16.375,2.1424465,1,1
15.990739,-4.8750001,1.9593885,2,1
-3.214917,-10.123315,6.6843221,2,2
-13,24.392316,2.2509327,1,2
20.499999,-15.375,1.5134305,1,1
25.805647,-6.6641613,3.5713782,2,2
-1.5000001,17.373633,2.1913583,1,2
18.286756,-2.3749999,2.8444025,2,1
11.5,-0.37499998,1.5795405,1,1
-18.058043,-11.033646,11.677487,2,2
-11.802833,20.124999,3.2309458,2,1
15.732645,-6.0595829,3.4384538,2,2
-4.6410913,3.0852083,10.600823,7,6
-2.010559,14.336573,8.9336973,5,5
2.8500575,-0.17448983,8.327532,4,6
24.744884,-16.709046,2.0935034,2,2
3.2881681,-10.71981,8.4192506,8,6
-23.634588,7.6856741,1.1916679,3,3
21.321471,21.342911,2.4428832,4,6
-4.7303105,-1.4793791,2.8087439,5,4
-22.380797,-23.034862,2.1483272,6,4
22.350081,-1.5927923,1.7578627,4,5
-1.0949683,24.137132,1.5169645,3,3
-8.2694459,-0.53045377,8.0931008,6,5
-18.793341,-16.610618,6.3478172,4,4
-0.8053346,-25.04913,1.8236941,2,2
25.061952,-8.9364785,2.2493403,3,5
1.6656088,-24.574699,1.9350872,2,2
12.157836,-10.157157,1.7767728,3,4
4.7385656,9.9389949,5.807476,6,7
-20.12331,22.810059,2.3087211,4,4
-19.265253,-19.696225,1.4783476,5,3
24.433691,8.577279,7.7144954,4,3
-23.570496,-5.3901337,1.9058419,4,4
-10.795043,-0.42513515,9.2531325,5,5
-17.14001,16.628491,11.01204,4,5
17.718011,7.0213602,9.6769206,6,6
-14.845769,-25.290809,1.9639038,2,2
15.270001,-0.43254177,4.571334,4,3
0.30444517,17.244489,9.6339299,4,4
22.496245,-0.21948198,4.5949872,3,4
-3.1798296,-1.3909736,10.065498,5,5
21.984901,-14.702754,6.3216446,5,4
-21.127014,13.879121,3.2751271,3,2
-20.411592,2.4026039,7.2358718,3,2
7.6057194,19.70548,11.991614,7,6
-17.947228,-6.0722671,9.2729336,7,5
10.597941,-1.7606886,9.2287561,5,5
25.031094,-12.631408,6.1991588,3,2
0.62068062,-10.516412,8.9599649,5,5
8.8941825,-13.998503,10.624382,4,5
7.2098126,6.1431186,11.262695,6,6
12.782303,-6.798508,9.9671272,4,4
17.84,-10.148791,8.8852321,6,6
4.3497386,-18.652973,7.1288569,6,4
-19.080852,-23.35515,7.5008492,2,3
-16.032044,-20.58875,8.256835,5,6
-3.2528683,-9.0220609,3.014988,4,4
1.0532036,8.3798828,4.1862198,5,5
9.6302155,5.0941326,11.099983,9,9
-22.851012,-21.004733,2.4640018,3,3
22.657956,1.6225706,2.1503519,4,4
-16.887859,18.258028,3.6747316,4,6
-8.8516792,-7.8864823,6.152447,9,6
3.1264162,-3.6405784,3.1780115,7,6
19.555693,-6.2176627,2.0646681,4,3
4.5886727,-22.495889,1.4467072,3,3
4.573068,7.6687302,9.3347763,9,10
24.214233,-23.794091,4.6878582,8,6
22.697631,17.517804,3.5359177,5,5
-9.0862022,9.1745355,3.1409616,7,7
1.9474022,-15.828148,9.9835846,7,7
9.6219745,-3.7140958,5.4296682,7,6
-7.9392111,17.304254,2.7473435,7,6
11.258328,3.1136421,5.2005387,6,5
24.583018,3.1791648,1.7300819,4,3
-8.4291373,-24.218741,2.2115183,4,4
0.43568467,-14.845987,10.435463,5,5
2.5982453,0.12256608,8.6673575,5,5
10.175958,-12.767334,4.5629011,6,7
-4.972601,-10.827848,3.2211731,8,6
-7.5412623,5.6816829,8.1107529,6,5
5.5287967,-15.468723,6.7454004,5,7
7.0899781,-9.3397254,8.3686847,5,5
7.6867807,-12.706993,8.3021514,6,5
5.1524734,-16.422668,11.972382,8,9
2.2273564,-14.630016,3.466088,5,4
25.006885,5.0627952,3.4834066,5,5
-3.3488479,2.3232579,9.4266143,7,7
20.787607,-0.045011758,2.473071,5,6
14.887201,-11.368862,8.4165502,4,4
-21.338828,25.500304,1.4497711,3,3
-17.720162,-11.951254,2.7072693,5,7
