x	y	z	zMean
21.35	20.075	0	0
21.35	20.175	0	0
21.35	20.275	0	0
21.35	20.375	0	0
21.35	20.475	0	0
21.35	20.575	0	0
21.35	20.675	0	0
21.35	20.775	0	0
21.35	20.875	0	0
21.35	20.975	0	0
21.35	21.075	0	0
21.35	21.175	0	0
21.35	21.275	0	0
21.35	21.375	0	0
21.35	21.475	0	0
21.35	21.575	0	0
21.35	21.675	0	0
21.35	21.775	0	0
21.35	21.875	0	0
21.35	21.975	0	0
21.35	22.075	0	0
21.35	22.175	0	0
21.35	22.275	0	0
21.35	22.375	0	0
21.35	22.475	0	0
21.35	22.575	0	0
21.35	22.675	0	0
21.35	22.775	0	0
21.35	22.875	0	0
21.35	22.975	0	0
21.35	23.075	0	0
21.35	23.175	0	0
21.35	23.275	0	0
21.35	23.375	0	0
21.35	23.475	0	0
21.35	23.575	0	0
21.35	23.675	0	0
21.35	23.775	0	0
21.35	23.875	0	0
21.35	23.975	0	0
21.35	24.075	0	0
21.35	24.175	0	0
21.35	24.275	0	0
21.35	24.375	0	0
21.35	24.475	0	0
21.35	24.575	0	0
21.35	24.675	0	0
21.35	24.775	0	0
21.35	24.875	0	0
21.35	24.975	0	0
21.35	25.075	0	0
21.35	25.175	0	0
21.35	25.275	0	0
21.35	25.375	0	0
21.35	25.475	0	0
21.35	25.575	0	0
21.35	25.675	0	0
21.35	25.775	0	0
21.35	25.875	0	0
21.35	25.975	0	0
21.35	26.075	0	0
21.35	26.175	0	0
21.35	26.275	0	0
21.35	26.375	0	0
21.35	26.475	0	0
21.35	26.575	0	0
21.35	26.675	0	0
21.35	26.775	0	0
21.35	26.875	0	0
21.35	26.975	0	0
21.35	27.075	0	0
21.35	27.175	0	0
21.35	27.275	0	0
21.35	27.375	0	0
21.35	27.475	0	0
21.35	27.575	0	0
21.35	27.675	0	0
21.35	27.775	0	0
21.35	27.875	3	0.03125
21.35	27.975	9	0.09375
21.35	28.075	11	0.11458333
21.35	28.175	18	0.1875
21.35	28.275	27	0.28125
21.35	28.375	28	0.29166667
21.35	28.475	36	0.375
21.35	28.575	48	0.5
21.35	28.675	71	0.73958333
21.35	28.775	85	0.88541667
21.35	28.875	86	0.89583333
21.35	28.975	112	1.1666667
21.35	29.075	109	1.1354167
21.35	29.175	123	1.28125
21.35	29.275	130	1.3541667
21.35	29.375	115	1.1979167
21.35	29.475	139	1.4479167
21.35	29.575	152	1.5833333
21.35	29.675	141	1.46875
21.35	29.775	160	1.6666667
21.35	29.875	180	1.875
21.35	29.975	164	1.7083333
21.35	30.075	177	1.84375
21.35	30.175	164	1.7083333
21.35	30.275	160	1.6666667
21.35	30.375	134	1.3958333
21.35	30.475	139	1.4479167
21.35	30.575	134	1.3958333
21.35	30.675	117	1.21875
21.35	30.775	120	1.25
21.35	30.875	134	1.3958333
21.35	30.975	112	1.1666667
21.35	31.075	108	1.125
21.35	31.175	103	1.0729167
21.35	31.275	129	1.34375
21.35	31.375	128	1.3333333
21.35	31.475	110	1.1458333
21.35	31.575	149	1.5520833
21.35	31.675	142	1.4791667
21.35	31.775	149	1.5520833
21.35	31.875	160	1.6666667
21.35	31.975	132	1.375
21.35	32.075	135	1.40625
21.35	32.175	133	1.3854167
21.35	32.275	134	1.3958333
21.35	32.375	130	1.3541667
21.35	32.475	119	1.2395833
21.35	32.575	97	1.0104167
21.35	32.675	87	0.90625
21.35	32.775	94	0.97916667
21.35	32.875	105	1.09375
21.35	32.975	82	0.85416667
21.35	33.075	84	0.875
21.35	33.175	74	0.77083333
21.35	33.275	60	0.625
21.35	33.375	43	0.44791667
21.35	33.475	36	0.375
21.35	33.575	23	0.23958333
21.35	33.675	23	0.23958333
21.35	33.775	11	0.11458333
21.35	33.875	7	0.072916667
21.35	33.975	7	0.072916667
21.35	34.075	3	0.03125
21.35	34.175	0	0
21.35	34.275	1	0.010416667
21.35	34.375	0	0
21.35	34.475	0	0
21.35	34.575	0	0
21.35	34.675	0	0
21.35	34.775	0	0
21.35	34.875	0	0
21.35	34.975	0	0
21.35	35.075	0	0
21.35	35.175	0	0
21.35	35.275	0	0
21.35	35.375	0	0
21.35	35.475	0	0
21.35	35.575	0	0
21.35	35.675	0	0
21.35	35.775	0	0
21.35	35.875	0	0
21.35	35.975	0	0
21.35	36.075	0	0
21.35	36.175	0	0
